id,profession,gender,pred_class_idx,pred_label,pred_prob_original,pred_prob_erased,faithfulness,tokens_erased,n_tokens_erased
16348,physician,F,1,physician,0.9994,0.9022,0.0972,"practices, medicine, Medicine., specializes, Milwaukee,",5
46287,professor,F,0,professor,0.9523,0.3472,0.6051,"York, interests, taught, participants, include",5
72503,physician,M,1,physician,0.9905,0.8957,0.0948,"patients., carriers., physiology., heart, Dr.",5
4602,physician,F,1,physician,0.9994,0.9964,0.003,"medicine, practices, Allergy, Connecticut., specializes",5
49360,psychologist,M,6,psychologist,0.8803,0.6773,0.203,"professional, available, consultation,, child, assistance.",5
42951,professor,M,0,professor,0.9962,0.1377,0.8584,"university, funded, science., Rushton, in",5
77124,professor,M,0,professor,0.9991,0.9979,0.0012,"leads, Dr., research, PhD, program",5
39711,dentist,M,8,dentist,0.998,0.0903,0.9077,"Dentist, Dr., patient,, 4.5, CareDash",5
30282,psychologist,M,6,psychologist,0.6572,0.2951,0.3621,"leadership, skills., focuses, adult, think",5
33409,professor,M,0,professor,0.9902,0.9884,0.0018,"Physician, Physician, University, Physician, Intercollegiate",5
36561,model,M,12,model,0.9988,0.9972,0.0016,"model, professional, photographers, as, professional",5
10637,painter,M,11,painter,0.3641,0.0113,0.3528,"French,, Lecturing, Department, Ikere-Ekiti,, Ado-Ekiti",5
24817,journalist,F,4,journalist,0.6445,0.5201,0.1244,"Worth., argues, political, landscape, But",5
31505,software engineer,M,15,software engineer,0.9113,0.9075,0.0039,"development,, back-end,, application, design., front-end,",5
58312,journalist,F,4,journalist,0.9975,0.997,0.0005,"news, newspapers, Budapest,, foreign, dealing",5
42143,psychologist,M,6,psychologist,0.9973,0.3194,0.6779,"neuroscience., psychotherapy, psychotherapeutic, Psychology, one-to-one",5
4145,attorney,F,2,attorney,0.9891,0.9617,0.0274,"Law., degree, Ohio, majored, degree,",5
64458,photographer,M,3,photographer,0.8163,0.0109,0.8054,"Photography, work, Art, artistic, Architectural",5
74377,surgeon,M,9,surgeon,0.6147,0.0526,0.5621,"recuperating, While, deadly, mugger,, Murphy,",5
20281,professor,M,0,professor,0.9937,0.9955,-0.0017,"DNA., Krynetskiy, Pharmacogenomics, Ph.D., mercaptopurine;",5
55020,model,M,12,model,0.887,0.1054,0.7817,"Colombia., studios, models, models, with",5
74809,psychologist,F,6,psychologist,0.9941,0.01,0.9841,"here., counselling, self, body, To",5
27933,professor,M,0,professor,0.9988,0.9984,0.0004,"Professor, academic, work,, Professor, USC",5
11662,professor,F,0,professor,0.9995,0.9995,0.0,"research, University,, interests, University,, include",5
83094,professor,M,0,professor,0.9983,0.9947,0.0036,"Family, UNM., research, Studies, program",5
42156,physician,M,1,physician,0.94,0.964,-0.0241,"residency, Clinic., Medical, Dr., training",5
15615,architect,M,10,architect,0.51,0.508,0.002,"Java, startup, Jini., first, subsequently",5
79286,nurse,F,5,nurse,0.9896,0.9095,0.0801,"nursing, Nursing, Nurse, Nurse, Clinical",5
43044,photographer,F,3,photographer,0.9911,0.0013,0.9898,"capturing, moments, contradiction., work,, travelled",5
79135,professor,F,0,professor,0.9992,0.9936,0.0056,"doctorate, University., Economics."", College, Philosophy",5
17636,professor,M,0,professor,0.9991,0.9862,0.0129,"research, neural, University, Neuroscience, Ph.D.",5
54221,poet,M,13,poet,0.9813,0.9162,0.0651,"poets, prose, contemporary, critic.""--Robert, autobiographer",5
73575,photographer,M,3,photographer,0.9936,0.0209,0.9727,"photographs, campaigns, clients, Panasonic,, magazines",5
13578,journalist,M,4,journalist,0.8561,0.8611,-0.005,"website, News,, publishes, writes, name,",5
5448,professor,F,0,professor,0.986,0.625,0.361,"studies, researcher,, questions, organizational, addresses",5
80601,architect,M,10,architect,0.9209,0.9948,-0.0738,"Architectural, Architects, residential., architect, of",5
43877,nurse,F,5,nurse,0.9966,0.9848,0.0118,"diagnosis, promotion,, disease, prevention,, health",5
44557,professor,M,0,professor,0.9995,0.9995,0.0,"University, Professor, professor, research, conducts",5
61558,architect,M,10,architect,0.7193,0.5893,0.13,"cloud, deployments., experience, (CI/CD), Labs,",5
12480,professor,M,0,professor,0.8604,0.3004,0.5601,"Faculty, University, India, School, areas",5
37372,dentist,F,8,dentist,0.984,0.5212,0.4628,"dental, surgery., HealthCare, in, Dr.",5
48225,surgeon,F,9,surgeon,0.8954,0.0021,0.8934,"surgery, Forks., medical, general, degree",5
35423,composer,F,17,composer,0.885,0.2589,0.6261,"Orchestra,, works, Ensemble,, Orchestra, Composers",5
4598,teacher,M,7,teacher,0.9975,0.997,0.0005,"RateMyTeachers.com., teacher, College, average, rating",5
76006,journalist,F,4,journalist,0.9978,0.9978,-0.0,"non-fiction, Guardian, Times,, organisation., Guardian,",5
52486,physician,F,1,physician,0.9994,0.9994,0.0,"MD., practices, professional, credentials, 1093920274",5
702,professor,M,0,professor,0.9921,0.9877,0.0044,"College, Cardiology., Fellow, Chicago, School.",5
71994,journalist,F,4,journalist,0.9967,0.9945,0.0022,"news, both, mainstream, work, Indigenous",5
29015,attorney,F,2,attorney,0.9993,0.9993,0.0,"counsel, legal, currently, serves, Law",5
93020,professor,M,0,professor,0.9995,0.9994,0.0001,"Prior, to, Tufts,, joining, postdoctoral",5
24289,professor,F,0,professor,0.9994,0.9992,0.0001,"University, faculty, post-doc, Ph.D., Biophysics",5
85541,professor,F,0,professor,0.9992,0.9988,0.0004,"internationally-recognized, educator,, Studies., researcher, Professor",5
42719,professor,M,0,professor,0.9988,0.977,0.0218,"linguistics, University, sociolinguistics,, Illinois, doctorate",5
50174,architect,F,10,architect,0.9771,0.0455,0.9315,"Architects, architecture, Architecture, Architecture, architecture",5
14729,psychologist,M,6,psychologist,0.9924,0.8477,0.1447,"Psychopathology, interventions, Developmental, internationally., designed",5
84291,physician,M,1,physician,0.997,0.3965,0.6005,"Professor, Clinical, Clinical, Medical, Oncology,",5
11815,journalist,F,4,journalist,0.99,0.97,0.02,"News, columns, Music, TV, Examiner,",5
65795,professor,F,0,professor,0.9993,0.9991,0.0002,"teaches, courses, Ph.D., research, professor.",5
70364,professor,F,0,professor,0.9973,0.9693,0.028,"Ph.D., research, algorithms, University, interests",5
22347,journalist,F,4,journalist,0.9961,0.011,0.985,"cover, football, Award., rules, Media",5
39122,professor,F,0,professor,0.4966,0.6534,-0.1568,"research, University,, fellow, Institute,, the",5
31046,model,F,12,model,0.9983,0.9984,-0.0001,"modeling,, internationally., photoshoots, known, photoshoot.",5
33201,professor,F,0,professor,0.9981,0.9976,0.0005,"Ph.D., co-director, Dr., courses., research",5
34406,physician,M,1,physician,0.9124,0.9236,-0.0112,"patients, Harrell's, Dr., Medicine., Dr.",5
74946,professor,M,0,professor,0.9819,0.1347,0.8472,"interests, include, intellectual, developmental, individuals",5
84715,architect,F,10,architect,0.9768,0.0342,0.9426,"architect, Dover,, Delware, the, been",5
11351,painter,M,11,painter,0.5839,0.0635,0.5205,"exhibition, Studio, Art, Bushwick., Flat",5
436,physician,M,1,physician,0.9977,0.9981,-0.0004,"interests:, graduate, Dr., insurance., residency",5
6302,physician,M,1,physician,0.7206,0.3246,0.396,"patients, Clinic,, Medical, joined, cared",5
72269,physician,M,1,physician,0.8701,0.5962,0.2739,"medicine, program, University, residency, trained",5
24338,journalist,F,4,journalist,0.9711,0.3808,0.5903,"journalist, print, covering, as, BBC,",5
55848,dentist,M,8,dentist,0.9808,0.965,0.0158,"patients, Dr., insurance, average,, gave",5
79663,journalist,F,4,journalist,0.8649,0.5794,0.2855,"Story,, India., book., Dawn, passion",5
50546,nurse,F,5,nurse,0.9987,0.0087,0.9899,"nursing, patients, clinical, gave, DianaâĢĻs",5
19540,physician,M,1,physician,0.9066,0.902,0.0046,"patients., Dr., medical, Medicine., insurance",5
30143,professor,M,0,professor,0.9526,0.9478,0.0048,"Previously,, MFA, consultant., University., University",5
88326,professor,F,0,professor,0.9524,0.0043,0.9481,"research, focuses, nurseâĢĻs, research, on",5
42175,professor,F,0,professor,0.9992,0.9983,0.0008,"teaching, research, research, ethnographic, interests",5
16410,nurse,F,5,nurse,0.9994,0.9979,0.0015,"NURSE, Kalie, Kalie, medical, affiliates",5
16813,accountant,F,16,accountant,0.9902,0.0001,0.9901,"payments, Accounts, Receivables, past-due, works",5
2321,architect,F,10,architect,0.9864,0.6395,0.3469,"implementations, SAP, end-to-end, SAP, domains.",5
61142,physician,F,1,physician,0.9551,0.9544,0.0006,"residency., patients., professionally, affiliated, Dr.",5
52916,attorney,M,2,attorney,0.9976,0.9969,0.0007,"firm, law, focused, representing, law",5
53976,professor,M,0,professor,0.9941,0.6476,0.3465,"faculty, Dr., College, Missouri,, Program",5
51899,photographer,F,3,photographer,0.9979,0.6404,0.3575,"photo, series, HomeâĢĻ., series,, subjects.",5
47145,surgeon,M,9,surgeon,0.5601,0.6353,-0.0752,"surgery, surgery, profiling., including, surgery,",5
75696,photographer,M,3,photographer,0.797,0.0019,0.7951,"Visual, Arts, University, professor, through",5
94259,professor,M,0,professor,0.9993,0.999,0.0003,"University, College, University, Minnesota, Plagiarism.",5
46960,journalist,M,4,journalist,0.9967,0.9957,0.0009,"reported, column, GlobalPost, Times,, Times",5
93000,attorney,M,2,attorney,0.996,0.9983,-0.0023,"law, Law, Law., Law, FranciscoâĢĻs",5
46505,professor,M,0,professor,0.9992,0.9993,-0.0001,"lab, UC, research, Ph.D., Biomedical",5
68349,physician,F,1,physician,0.9317,0.9218,0.0099,"Dennis's, Dr., Medicine., clinical, residency,",5
42600,physician,F,1,physician,0.9993,0.3553,0.6441,"medicine, practices, Charleston, specializes, Medical",5
30588,professor,F,0,professor,0.735,0.9866,-0.2515,"Iowa, publications., journalism, nonfiction,, holds",5
40257,professor,F,0,professor,0.9987,0.9937,0.005,"academia, Dr., federally, emphasis, qualified",5
66822,accountant,M,16,accountant,0.9979,0.9972,0.0006,"financial, positions, Finance., Wiltshire., senior",5
41479,physician,M,1,physician,0.9994,0.9973,0.0021,"Dr., medical, affiliated, Hospital, degree",5
22425,accountant,M,16,accountant,0.9963,0.9757,0.0206,"Accountants., member, Accounts, Financial, Certified",5
11945,attorney,M,2,attorney,0.779,0.4032,0.3758,"Chamber, Walt, served, Commerce., Kirkland",5
89703,attorney,F,2,attorney,0.9991,0.9991,0.0,"law., law., law., experience, practice",5
85218,filmmaker,M,14,filmmaker,0.9949,0.9954,-0.0005,"film,, feature, award, documentary,, winning",5
51511,composer,M,17,composer,0.9936,0.9933,0.0004,"mastering, artists., producing,, bands, mixing,",5
47791,software engineer,M,15,software engineer,0.5092,0.1017,0.4075,"Intel,, hosting, engineering, role, web",5
45238,attorney,M,2,attorney,0.9994,0.9991,0.0003,"represents, disputes., businesses, clientsâĢĻ, forgery.",5
79600,filmmaker,M,14,filmmaker,0.994,0.9934,0.0006,"filmmaker, films, producer., directing, film",5
66457,professor,M,0,professor,0.9546,0.7732,0.1815,"research, Dr., algorithms., interests, include",5
19907,physician,F,1,physician,0.9994,0.9993,0.0001,"Dr., practices, professional, credentials, No.",5
25606,psychologist,F,6,psychologist,0.9895,0.9508,0.0387,"www.BikePsych.com., book, longtime, lives, Guzzi.",5
46063,filmmaker,F,14,filmmaker,0.9966,0.9961,0.0005,"documentaries,, photography., making, films, videos,",5
82848,attorney,M,2,attorney,0.9987,0.9988,-0.0001,"cases., AttorneyâĢĻs, Law, AttorneyâĢĻs, Attorney",5
57242,journalist,M,4,journalist,0.9972,0.236,0.7612,"journalists, keep, attacks,, secret,, activities.",5
29759,surgeon,M,9,surgeon,0.8692,0.8342,0.035,"Surgery, Surgery,, surgery, surgery, Dr.",5
28025,professor,F,0,professor,0.9993,0.9986,0.0007,"textbooks,, focuses, theory, literacy,, University",5
2878,nurse,F,5,nurse,0.9994,0.9973,0.002,"NURSE, Call, doctors, medical, appointment.",5
36532,dietitian,F,18,dietitian,0.9987,0.7843,0.2144,"PROFESSIONAL,, DIETITIAN, NUTRITION, affiliates, number",5
94939,surgeon,M,9,surgeon,0.998,0.998,-0.0,"Dr., practice, Dr., Hospital., Medicine",5
85031,photographer,F,3,photographer,0.9969,0.9932,0.0037,"photographer, portraits, CindyâĢĻs, subject,, between",5
29515,photographer,M,3,photographer,0.9958,0.0011,0.9948,"photography., photography,, photography, specialization, Tibetan",5
60123,nurse,M,5,nurse,0.9915,0.0311,0.9604,"Nursing, holds, 2006., Masters, Degree",5
87861,physician,M,1,physician,0.8695,0.74,0.1295,"medical, Missouri., Health, earned, Louis,",5
7856,poet,M,13,poet,0.9924,0.2021,0.7904,"poetry, writing, Irish, Poetry., work.",5
6655,surgeon,M,9,surgeon,0.5114,0.5056,0.0057,"Dr., Dr., artery, Surgical, Dr.",5
85177,physician,F,1,physician,0.7133,0.4677,0.2456,"patients,, patients., 'Myelopathy, blog, active",5
43831,professor,M,0,professor,0.9985,0.9971,0.0014,"undergraduate, directs, teaches, University., program",5
30012,dentist,M,8,dentist,0.9983,0.0393,0.959,"Dentists, patients,, medical, CareDash, of",5
56328,physician,M,1,physician,0.5537,0.1184,0.4354,"Medicine,, experience, years., extensive, Medicine",5
29403,professor,F,0,professor,0.8123,0.8096,0.0027,"Director, nationally, Vice-President, internationally., research",5
95197,photographer,M,3,photographer,0.9904,0.7999,0.1905,"photography, photographs, photographs, here., work",5
89401,professor,M,0,professor,0.9991,0.999,0.0002,"taught, African-American, published, Theory,, (University",5
51435,professor,M,0,professor,0.9993,0.9986,0.0007,"research, interests, MIT, interested, Computing,",5
52937,psychologist,M,6,psychologist,0.9982,0.9979,0.0003,"expertise, patients., Dr., following:, depression,",5
29236,professor,M,0,professor,0.9992,0.9991,0.0001,"University., faculty,, undergraduates, Lawrence, specializes",5
34825,dentist,M,8,dentist,0.9818,0.9628,0.019,"Dr., Lybrate.com., Dr., online, Clinic",5
78327,attorney,M,2,attorney,0.9929,0.0553,0.9375,"law, attending, vice, president, served",5
93723,professor,M,0,professor,0.9946,0.9723,0.0224,"research, book, interest, emphasis, has",5
75691,professor,M,0,professor,0.9787,0.9584,0.0203,"postdoctoral, Texas, research, joined, University",5
92636,physician,F,1,physician,0.9982,0.997,0.0012,"practices, Otolaryngology, services, provided, Treatment",5
31199,dentist,F,8,dentist,0.998,0.9982,-0.0002,"Dentistry., Dr., Oral, English., experience.",5
38464,teacher,F,7,teacher,0.3882,0.1311,0.2571,"educators., Educators),, perspective, Education, standards",5
50763,software engineer,M,15,software engineer,0.9781,0.9249,0.0532,"kernel., subsystems,, hacking, projects, DRM",5
18312,physician,F,1,physician,0.9212,0.9203,0.0009,"practice, NPI, NPI, location, #1255510053",5
71970,professor,M,0,professor,0.8658,0.2234,0.6424,"research, interests, evaluating, research, include",5
78380,professor,M,0,professor,0.9832,0.3172,0.666,"genetic, genomics, mapping., tree, management",5
60161,journalist,F,4,journalist,0.9978,0.973,0.0248,"journalism., graduated, school, civic, from",5
82402,professor,M,0,professor,0.9991,0.9992,-0.0001,"academic, University, interests, University, Professor",5
14691,poet,M,13,poet,0.9818,0.9881,-0.0062,"poems, published, Poetry,, Delinquent, released",5
91561,professor,F,0,professor,0.6401,0.2111,0.429,"doctorate, publications., University,, holds, physics",5
6664,photographer,M,3,photographer,0.9962,0.9282,0.0679,"subjects., documents, capture, eye, order",5
13852,professor,F,0,professor,0.9994,0.9987,0.0007,"University,, University, research, PhD, Wisconsin",5
84153,psychologist,F,6,psychologist,0.9958,0.0046,0.9912,"Psychotherapy, Counselling, Integrative, working, Analysis",5
52651,surgeon,M,9,surgeon,0.9096,0.0004,0.9092,"Ophthalmology, Clinical, Professor, Ophthalmic, News",5
22417,professor,M,0,professor,0.9991,0.9988,0.0003,"Professor, academic, research, Professor, PhD",5
84895,professor,F,0,professor,0.9851,0.9816,0.0035,"Dr., Ph.D., fellowship, Applied, University,",5
11717,attorney,M,2,attorney,0.9993,0.9988,0.0004,"law, judicial., Firm,, Law, legislative,",5
59641,nurse,F,5,nurse,0.9925,0.0172,0.9752,"nursing, studied, the, program, at",5
52246,professor,M,0,professor,0.9927,0.2935,0.6992,"research, focuses, interactions, scientific, human-machine",5
94896,surgeon,M,9,surgeon,0.7564,0.0076,0.7489,"Surgery), Surgery., Surgery, Surgery, Center.",5
39234,professor,F,0,professor,0.9959,0.9915,0.0045,"(http://cinej.pitt.edu)., director, advisory, board, member",5
78969,teacher,F,7,teacher,0.7748,0.7351,0.0396,"learning, teachers, teacher, district, presenter",5
86259,psychologist,F,6,psychologist,0.64,0.0323,0.6077,"work, parents., raising, awareness, imprisoned",5
85634,architect,M,10,architect,0.9972,0.2804,0.7168,"Architecture, Advanced, Architecture, IAAC., Ricardo",5
82926,surgeon,F,9,surgeon,0.6072,0.001,0.6063,"Surgery, surgeons, Dr., Medicine,, Dr.",5
32501,professor,F,0,professor,0.9992,0.9979,0.0013,"teaches, research, courses, scholarship, focuses",5
34205,poet,F,13,poet,0.9885,0.9922,-0.0037,"poetry, poetry, Writing, poetry, poet",5
65797,journalist,M,4,journalist,0.9834,0.0127,0.9707,"covered, Mali., News, coup, has",5
58689,photographer,M,3,photographer,0.9977,0.9955,0.0023,"photography, images., images., camera., camera",5
86967,journalist,M,4,journalist,0.996,0.9851,0.0108,"editor, BBC, News., correspondent, political",5
86329,physician,F,1,physician,0.9695,0.2995,0.67,"practices, California, credentials, Berkeley,, NPI",5
26151,professor,F,0,professor,0.9957,0.2434,0.7523,"PhD, University, received, representation, (Italy)",5
60167,nurse,F,5,nurse,0.9994,0.9976,0.0018,"NURSE, Call, Deborah, Healthcare,, advises",5
25483,software engineer,M,15,software engineer,0.5134,0.4482,0.0652,"Erich, seconds., enjoys, playing, likes",5
23270,nurse,F,5,nurse,0.9901,0.9986,-0.0084,"nurse, Michelle, registered, clinical, acute/critical",5
52297,physician,M,1,physician,0.9994,0.8789,0.1205,"Spanish., practices, medicine, Surgery., speaks",5
6860,nurse,F,5,nurse,0.9994,0.997,0.0024,"NURSE, Call, Renee, Renee, appointment.",5
199,professor,F,0,professor,0.9924,0.8733,0.1191,"research, examines, funded, research, context",5
76157,photographer,F,3,photographer,0.9532,0.0003,0.9529,"photo, photo, completes, families., projects",5
7540,professor,F,0,professor,0.9994,0.9994,0.0,"research, University, articles, Stanford, University.",5
3207,physician,M,1,physician,0.9964,0.9967,-0.0003,"Partners., (pneumothorax),, UMDNJ-New, UMDNJ-Robert, affiliated",5
38122,physician,M,1,physician,0.9994,0.989,0.0105,"medicine, practices, Medical, speaks, Monteleone",5
53129,nurse,M,5,nurse,0.9923,0.2113,0.7809,"Healthcare, Nurses, Professionals, Allied, Clinical",5
72555,professor,M,0,professor,0.9994,0.9881,0.0114,"faculty, joining, post-doc, Prior, to",5
72583,architect,M,10,architect,0.9868,0.9696,0.0172,"conferences., VMware, presents, VMware, VMware",5
79884,physician,F,1,physician,0.9994,0.9902,0.0092,"practices, medicine, Pediatrics., Hospital, in",5
76575,teacher,M,7,teacher,0.9968,0.0686,0.9282,"MidSchoolMath, Conference., presenter, presenter, NCTM",5
83665,attorney,F,2,attorney,0.9994,0.9993,0.0001,"litigation., law, law, clients, legal",5
10587,composer,F,17,composer,0.9733,0.8376,0.1358,"compositions, music, CoreenâĢĻs, performed, choral",5
47866,nurse,F,5,nurse,0.9994,0.9972,0.0022,"Lisa, NURSE, Medical, medical, Lisa",5
313,professor,M,0,professor,0.9993,0.9992,0.0001,"Dr., postdoctoral, fellowships, research, College",5
87658,model,F,12,model,0.3762,0.0836,0.2926,"since,, left, credited, XCB, been",5
527,professor,F,0,professor,0.9993,0.9961,0.0032,"PhD, teaching, Physiology., University, Applied",5
27434,professor,F,0,professor,0.9994,0.9991,0.0002,"research, interests, sociology,, sociology,, intersection",5
10082,professor,F,0,professor,0.7099,0.2553,0.4546,"University., Ph.D, Faculty, M.D., in",5
75175,physician,M,1,physician,0.9993,0.9865,0.0128,"practicing, degree, affiliated, medical, Baylor",5
86883,dentist,M,8,dentist,0.7016,0.5009,0.2007,"Dr., insurance, Cross/Blue, at, Health",5
70995,professor,F,0,professor,0.9981,0.99,0.0081,"research, University, focuses, Anthropology., Research",5
37066,attorney,M,2,attorney,0.9992,0.7063,0.2929,"Bar, practice, Athens-Clarke, Association, the",5
75949,teacher,M,7,teacher,0.997,0.9234,0.0736,"teaching, students., Teacher, Certification, standards",5
78990,software engineer,M,15,software engineer,0.8944,0.8219,0.0725,"platform, PDF.js, browsers., WebAssembly, applications.",5
82304,dentist,M,8,dentist,0.985,0.9484,0.0366,"Dr., Hospital, Giridhar@Brookefield, Dr., currently",5
5058,professor,M,0,professor,0.999,0.9981,0.001,"research, scholarly, funded, Scholar, interest",5
57502,psychologist,F,6,psychologist,0.5495,0.0416,0.5079,"interviewed, mothers,, fathers, of, within",5
41823,model,F,12,model,0.9962,0.5881,0.4081,"Playboy's, selected, Playmate,, UCLA, be",5
28206,attorney,F,2,attorney,0.9918,0.9921,-0.0003,"law, Law, Counsel, Law, Office",5
39579,professor,F,0,professor,0.9988,0.9975,0.0013,"research, scholarship, serves, undergraduate, teaches",5
69270,physician,M,1,physician,0.9904,0.9824,0.008,"Associates., medical, Medicine, Dr., residency",5
61835,professor,F,0,professor,0.9995,0.9995,0.0,"field., studies, meteorologist,, Dr., University",5
62639,journalist,M,4,journalist,0.9962,0.996,0.0002,"Journalism., Collaborative, currently, CurrentâĢĻs, Pub.",5
93365,professor,M,0,professor,0.9992,0.9974,0.0018,"research, Studies,, co-editor, on, networks",5
16315,professor,F,0,professor,0.9844,0.9024,0.082,"Faculty, Columbia, Law, University, University,",5
57070,professor,F,0,professor,0.9972,0.0758,0.9214,"teaches, Department, Management, program,, Systems,",5
57612,professor,F,0,professor,0.9972,0.992,0.0053,"specialists., research, focuses, reading, on",5
47862,photographer,F,3,photographer,0.9937,0.0243,0.9694,"photographs, photography, appeal., uses, FranâĢĻs",5
5869,professor,M,0,professor,0.999,0.9834,0.0156,"PhD, earned, science, Prior, Prof.",5
79826,photographer,M,3,photographer,0.9967,0.997,-0.0003,"photography., camera,, lens, capture, passion",5
16505,professor,F,0,professor,0.9984,0.9973,0.0011,"published, Studies, essays, MacmillanLanguage:EnglishThe, has",5
55992,professor,M,0,professor,0.5124,0.5952,-0.0828,"Editorial, economics, Economics, Law, law",5
39707,nurse,F,5,nurse,0.9925,0.9924,0.0001,"health, Treatment, Residential, recovery., Senior",5
82386,architect,F,10,architect,0.9891,0.0991,0.89,"Architects, Architectural, Surveyors, member, Board",5
31942,dentist,F,8,dentist,0.9486,0.7453,0.2033,"Dental-, Dr., Dental, practices, Preeti",5
14518,photographer,F,3,photographer,0.9982,0.9962,0.002,"photography, shoot,, imagery, aesthetic, colors",5
6952,professor,M,0,professor,0.9939,0.9942,-0.0002,"algorithms., PhD, research, University, interests",5
29369,professor,F,0,professor,0.9973,0.4095,0.5878,"academia,, faculty, PhD, adjunct, industry",5
56991,professor,F,0,professor,0.998,0.9857,0.0123,"examines, disparities,, work, consumer-directed, University.",5
45248,psychologist,M,6,psychologist,0.5839,0.0538,0.5301,"psychology, mindfulness, clinical, strategies, acceptance",5
44868,physician,M,1,physician,0.9993,0.6488,0.3506,"practices, PHYSICIAN, License, credentials, professional",5
89093,professor,M,0,professor,0.9723,0.8881,0.0842,"Eloquence,, Harper's,, and, and, Comedy:",5
91091,professor,M,0,professor,0.9791,0.6767,0.3024,"scholarship, teaching, Iowa, State, University",5
27303,attorney,F,2,attorney,0.9994,0.9938,0.0056,"courts, federal, representing, cases, advises",5
53371,professor,M,0,professor,0.9982,0.9974,0.0007,"PhD, School, Economics, research, received",5
26474,surgeon,M,9,surgeon,0.9808,0.974,0.0069,"surgeries, Dr., knees,, hips, procedures.",5
40556,professor,M,0,professor,0.9966,0.9929,0.0037,"particle., was, Onyisi, boson, Higgs",5
56089,nurse,F,5,nurse,0.9883,0.9921,-0.0038,"nurse, Sharon, practitioner, nurse, nurse",5
47268,attorney,F,2,attorney,0.9967,0.7541,0.2426,"represents, violence., violence, domestic, and",5
89046,psychologist,F,6,psychologist,0.9987,0.9987,0.0,"PSYCHOLOGIST,, appointment., CLINICAL, specialists, experiences,",5
40636,professor,F,0,professor,0.9972,0.9943,0.0029,"teaches, University, majors, writing/publishing, nonfiction,",5
4183,journalist,F,4,journalist,0.8782,0.8349,0.0433,"news, Times, programs., News,, ABC,",5
74029,professor,M,0,professor,0.9989,0.998,0.0009,"researches, research,, explore, ActiveHistory.ca, editor",5
36066,journalist,M,4,journalist,0.986,0.9623,0.0237,"covered, News, Digest., sports, Sun-Times.",5
14092,professor,M,0,professor,0.9931,0.7771,0.216,"research, interests, Vanderbilt, include, educators",5
5715,painter,M,11,painter,0.9957,0.9879,0.0077,"paintings, paintings,, palette,, artistic, lacquer,",5
33429,professor,M,0,professor,0.9914,0.1903,0.8011,"Ph.D, University, language-related, Teaching, Linguistics,",5
67912,physician,M,1,physician,0.9777,0.9813,-0.0036,"patients., Dr., welcomes, clinical, residency",5
2076,professor,F,0,professor,0.9892,0.9613,0.0279,"Teaching,, teaching, areas, published, College",5
24607,filmmaker,M,14,filmmaker,0.9942,0.9944,-0.0002,"films, film, feature, film, nomination.",5
68747,attorney,M,2,attorney,0.9993,0.9208,0.0785,"AttorneyâĢĻs, attorney, defense, attorney, best",5
35881,dentist,F,8,dentist,0.988,0.5697,0.4183,"Dr, appointment, Dr., Sandhya's, online",5
52567,photographer,F,3,photographer,0.992,0.0122,0.9798,"photography, images, industry., stunning, photographing",5
77797,professor,F,0,professor,0.9177,0.8143,0.1034,"NIH-funded, research, research, immunotherapy, immunotherapy.",5
